,very good,,really good,
,"advise you not to buy it, it's too bad. Be sure to go to a brick-and-mortar store to buy your phone. After I bought it online, I found that the battery was not durable. I applied for a return and exchange, but the after-sales service said that it was no problem. Return the original machine to me. Why is there no problem, I have always used Huawei mobile phones before, and there is no such power consumption. Advise everyone to buy mobile phones must go to the physical store to buy",,"Too bad, such an expensive phone, the battery is not durable",
,"The outer packaging is very good, the company's annual meeting will be used for lottery",,Mobile phone is too bad,
,"The curved screen looks uncomfortable, and it seems to be the same size as the straight screen. I really don't know why I want to push the curved screen, I didn't pay attention when I bought it, and the merchant didn't give it. It's a hassle to return, forget it",,"What a waste! First of all, I declare that I am a staunch patriotic leader, and I have always sincerely supported domestic products, but my mobile phone experience is very poor. Would never give 4 stars if it was late. Not to mention that the curved screen looks much narrower than the straight screen of the same size for the time being. The curved parts on both sides are a waste of size. After registering for a HUAWEI ID, no matter what, you can't register. Every time you get stuck in the password, the settings are clearly in line with the requirements. , the next step is to not show valid. Also, there is no otg switch, and you have to buy another otg data cable to use USB, which is worse than the OPPO r11 that I plan to eliminate! There are also earphones that must be specially made. If you want to use universal earphones, you have to buy another adapter! Then, after opening the audio file on WeChat, I couldn't find the player or switch anymore. I couldn't even use the housekeeper to clean it up. I didn't buy Apple before, but I only supported the domestic brand. ! ! Why so rubbish? ! How much water is there in those blindly good comments? ! I vowed never to buy Huawei again",
,"The photo is yellowish in sunlight, and the color of the flash is also yellowish. The first picture is the P50Pro, and the second is the old Honor mobile phone, which is several times more expensive. After a few years, it is even more ugly.",,"Fingerprint recognition is extremely difficult to use, which is extremely poor. After recording a whole finger, only that small piece can be used, and it has to be aligned with a certain piece on the screen, and this piece also changes its position. Can't do it by hand",
,Looks good and runs fast,,"After a few days of use, it can only be used for one day on a single charge. Very power hungry. It is good to buy for taking pictures, but the beauty is not good. I have been using Huawei mobile phones, this is the third one. The response is not fast. It doesn't feel any better than my previous two. This is personal experience",
,"JD.com's self-operated products are unsealed, old mobile phones with fingerprints and scrub marks on the screen are pretending to be new, and after-sales delays are delayed again and again, no returns! So disappointed, so many years of trust are gone! I really don¡¯t want Jingdong to fall like this, but I feel like it¡¯s going to rain, I can¡¯t help it, I bought two mobile phones in the past six months, and the experience is very bad",,"The merchant's arrogant reply is like a raccoon dog with JD.com's customer service. Anyway, I am a merchant and I am right. If you do this again, JD.com will slowly lose our once loyal customers! I made five or six calls to the customer service in the two days, but I still have to solve it. It is useless for JD.com to rely on its mouth. ah wait ah wait",
,"Only a mobile phone, nothing to give, no charger, no earphones, is it a good or bad review?",,"Bad review, there is no charger and earphones, the customer service said that I have to buy these myself, and I don't give them away. I thought about supporting domestic brands. I didn't expect Huawei to be more shameless than Apple. I won't buy Huawei in the future.",
,"OK, I like the color, feel good, very smooth",,"advise everyone not to buy this phone, it's rubbish. It's been more than a month now. When I bought it back, I was so excited that I didn't use it, so I gave it a good review. I was careless. First of all, the boot is very slow, and the fingerprint needs to be recognized many times before it can be opened. Secondly, the curved screen is very insensitive, and sometimes it takes several times. After a few days, I bought a machine for more than 6,000 yuan as a backup machine. If I didn¡¯t play big games, I just played an ant manor star and the planet was stuck. I was angry and funny. Just use WeChat and Weibo, there is almost no memory, and now every morning when I wake up, my mobile phone can't wake up like a cerebral thrombosis. My iPhone 6 is the main camera. It's been very smooth for so many years. It can't compare with the old iPhone. I'm so sad. Those who ran to support domestic products let their feelings be unrestrained, but the feelings were tragic. What I told me after the sale was also irritating. It made me restart two or three times a month, and I was very unhappy. I didn¡¯t buy a mechanical watch, and I had to wind it up. I never restarted my iPhone 6. They asked me to back up and restore the settings, but I couldn't accept it, so I only bought it for a month! If so, who would buy it? I plan to retire if I can. If I can't, I will put it up as a souvenir, or come in and take it out to complain on the Internet. I feel sorry for the old iron, I will advise everyone not to sell this machine, the price is similar to the Apple 13",
,"The mobile phone activated on the 20th had a serious mobile phone freeze on January 1. The offline Huawei authorized store detected that there was no problem with the mobile phone hardware, but the mobile phone freeze could not be solved. I ask Jingdong to return it. Jingdong insisted on not returning, the reason is that I have no reason to return it after 7 days. I asked JD.com, if you spent nearly 7,000 yuan to buy a mobile phone that couldn¡¯t be used for 15 days, would you accept it? Jingdong's attitude was very tough and resolute, and let me keep my mobile phone and continue to use it. As a consumer, I deeply understand the helplessness of vulnerable groups at this moment. I can only admit that I am unlucky, and I will never use Jingdong to buy anything in the future.",,I am responsible for the above statement! no exaggeration,
,"I didn¡¯t say I would not send a charger before buying. The 10 pictures in the introduction not only did not say that I would not send a charger, but also said that I would send a wireless charging set and earphones. As a result, I got a mobile phone after I got it. This is misleading consumers, or deceiving consumers not only no Fulfilling the obligation to inform, also wrote a promotional image for sending wireless charging and secondary, and wrote the official standard words",,"My pot, my eyes are not good, it's a little embarrassing to see ""no"" as ""wireless""",
,It takes 16 minutes for the super fast charge to be 12% full? ? That's it,,"The power consumption is still fast, and after sleeping and waking up, more than ten percent are gone.",
,The customer service is basically useless. The gifts inside are not counted as asking the customer service or talking. It all depends on the robot.,,Ping star rating wrong one star,
,"Overall, it's okay that the customer service is too ****** to reply to the message is a robot, and the manual service is very slow. I waited in line for three hours to wait, and the overall service is not good. Want to buy what you want",,"There is the same price in the physical store, some places may be a little more discounted than online",
,"Appearance: The phone is very beautiful, and the workmanship is exquisite. The screen sound effect: the sound quality and the sound effect are very good. : Fast charging is very convenient. It can be fully charged in more than half an hour. Without a charger, it is a bit helpless to support domestic mobile phones!",,"I like it very much, the domestic flagship mobile phone did not say",
,"It should be one of the best mobile phones in China, but it seems to be normal, nothing special, and no 5G function. The logistics is in a mess. The order should be shipped from Shenyang to Dalian, but it was delivered to Wuhan, and then returned to Dalian.",,"Why did the evaluation fail? Tell the truth, no exaggeration. The logistics and transportation are really poor. The goods sent from Shenyang to Dalian were transported to Wuhan for a walk, and then came back to Liaoning. During the shipping process, I called customer service and could not tell where the goods were.",
,"I have always been a loyal fan of Huawei. From the earliest P9, P10, P20, to the current P50pro, the P series is of high quality and trustworthy.",,"Jingdong is too #people, bad reviews, I bought the baitiao in three phases with a handling fee, and immediately started the activity for 12 periods of interest-free, and also reduced the price by ** yuan, consulted customer service, all kinds of shirk, said that the handling fee could not be refunded, and there was no way to change it. Order. I used the application for return and refund, bought the same model with my husband¡¯s mobile phone number and planned to replace mine, but the courier delivered it and refunded it directly. Jingdong called and said that each mobile phone has a serial number, and the one my husband bought cannot replace my refund. But mine has already been unpacked, what should I do? The customer service has always said that there is no way, the handling fee cannot be refunded. I don't believe that I am the only one who has encountered this situation. As a plus user, I hope Jingdong will stop doing this. #People have refunded my handling fee. Why buy within two days, there is a handling fee and interest-free differential treatment",
,"We placed an order the night before yesterday and received the machine this morning. This is how it was turned on. Please take a look at it, is this a refurbished machine sent by Jingdong? And when I received it, it was in a simple outer packaging, with a mobile phone box inside, which was not like the treatment that a machine of seven or eight thousand would have. At that time, I felt something was wrong, but I thought it would not be. It seems that Jingdong will still issue refurbished machines.",,"Sorry, the evaluation is wrong, this phone has been officially verified, it should be a new product, not a refurbished product. When I first received a feeling that it was a refurbished machine, I was annoyed and made a bad review. But after verifying with the official customer service, it should be a new product, not a refurbished machine. But reviews cannot be deleted. to add",
,"Mobile phones are at this price, the screen film is really bad, the front camera does not know whether the film can not be opened or the problem of sticking, it is not aligned at all, it looks very uncomfortable, whether it is packaging or details, it is not as good as three or four years ago. P10",,"Is this Huawei? The one-handed mode of the previous mobile phone was very silky, but now there is no response after sliding for a long time, the top flagship",
,"Are you learning about iPhones? I bought it for more than 7,000, and I don't even have a charger.",,"The price was reduced after less than a month of purchase, and the battery still can't be used, and it is charged three times a day.",
,"It's a flagship model, it's easy to use",,Balanced performance in all aspects,
,"The first time I encountered a delivery like JD.com, I could spend more than a day in the sales department.",,"The express experience of this shopping is very poor. The reason for the poor experience is the delivery of express delivery. The details are as follows: On the 16th, it was delivered to the Shanghai Wujin Road Sales Department at 8:15; on the 17th, the delivery started at 16:28, and on the 17th at 20:28 Just delivered. It takes more than 36 hours from the sales office to delivery alone. The efficiency of Jingdong Express is so low now. Is the 1+2 delivery promised by Jingdong now implemented like this? Where exactly did the problem occur? How did JD.com handle this issue internally? Please give a clear reply from the relevant parties of Jingdong Express",
,"Overall, it's alright, and there's not much freshness. The obvious disadvantage is that the charging time is slow and the standby time is average. The running speed is also wide. The photo is more realistic, as shown below",,No charger! ! ! ! very impersonal,
,It is recommended to configure the charger,,The battery drains a bit quickly,
,"Okay, but there is no charger",,"attention, actual activity, record keeping",
,"The screen is not sensitive, the machine time is stuck, the sound is noisy, the battery is not used, it is not as good as the old M20 mobile phone",,"went to a physical store and asked why this happened to my mobile phone, and said I bought it offline, maybe it was a 2 mobile phone",
,"I haven't used it yet. The power consumption is terrible. I didn't do anything all night, just put it there, and 6% of the power was gone. Is there any remedy? regret starting",,"I really can't help but complain... This power consumption is terrible. I feel that if it has been used for two hours, it has to be charged. It's not as long as the 3000 mobile phone I bought before, and the time I type these words drops by 1%. It's terrible.",
,I feel good using it,,"The 100x zoom is very good for taking pictures, it is smooth to use, and playing Genshin Impact is very smooth",
,no charger,,"Does not support 5G, the 4G network is really bad, I want to sell it for money",
,"advise everyone not to buy Huawei mobile phones. It is really garbage in the garbage. The latest p50pro. I chose to trade in old ones for new ones. They cooperated with foreign companies to recycle your mobile phones. If there is a problem with the mobile phone, it cannot be replaced at all. Even if you return it, you will not be able to get your own mobile phone. I kindly remind everyone not to buy Huawei. It is really a poor experience. It is better to buy another mobile phone",,"Huawei p50pro is really rubbish, this store can't sell good goods, the next day after I bought it, I found out that I played games, the glory of the king, I can only play two, and the third one has serious heat, serious frame drop, screen shake, and I return it. I took my old mobile phone and didn't return it to me. Now it's as uncomfortable as eating flies in my hand. It's a rubbish store. If you buy it from Huawei in the future, you will really chop your hands.",
,"It took me half a month to evaluate it, and it feels good! Satisfaction in all aspects of sensitivity",,"After using it for a period of time, I feel that it is very easy to use in all aspects. It can be recognized when the screen saver is unlocked, the face mask is put on, and the eyes are open. The fingerprint unlocking is often not recognized after a week, and it can be used easily after re-entering the fingerprint. I don't know if it's because I won't set it up or what is the problem.",
,"Without 5G, the network is a real card! ! ! ! ! ! Why doesn't such a good phone have 5G? Where is it expensive? Camera? ? ? ? I regret buying it for a few thousand dollars. It looks good, but it feels flashy. I immediately lost my patience with Huawei. It is not as easy to use as my p30 and p40! Alas, taking pictures is good, that's all",,"Broken phone, the card can't work, it's useless",
,"Dear, send a member gift pack worth 500! But no charger! I thought that the product page did not clearly label the ""environmentally friendly"" version without a charger.",,"Good ones don¡¯t learn, and Apple doesn¡¯t send chargers, and it doesn¡¯t make it clear. Bought it for my mom, I don't think about a phone without a charger",
,Cut the price as soon as you buy it,,"As soon as you buy it, it will go up, but you can't insure the price",
,"nice! The first time I bought a mobile phone online, the experience was great, but there are too many software on the mobile phone, and there are not many of them that I use frequently. I have to delete a lot and download a lot. . . I like the appearance very much. I haven't been out for a while, so I haven't experienced the camera technology I'm proud of, but it looks good when I open it. The curved screen is very comfortable. I don't know the sound, haven't heard the song yet. The standby time is pretty good, at least it is enough for me to work for a day, the charger is equipped with the official 66w, and the charging speed is quite fast",,"I've been using it for a month, and I haven't played any games. I just watch videos every day. The new machine is relatively clean, but I feel very stuck watching videos these days. I downloaded Onmyoji and prepared to play it. The special card is the kind that you have poked several times and the interface has not responded. It feels very bad and the experience is not ideal.",
,"The battery is really only about 30 when I go to work at 6:30 in the morning, and the battery life is not strong.",,"bought a Huawei one, super fast charging, the power seems to be consumed slowly. The chargers of other brands I used before were powered down very quickly, like a five-star virtual power overall.",
,It only took a few days to get stuck and I wonder if I bought a fake product. The response speed is slow and stuck.,,"Look at the multi-card network signal is full, the wifi signal is full",
,battery is not durable,,Why is the battery so durable,
,"Appearance: good Screen sound effect: good photo effect: good running speed: good standby time: good Next-day delivery, JD.com official store logistics is indeed efficient",,"The appearance and workmanship are not worse than Apple; the fluency of Hongmeng is quite good; fully charged, install various software, play the system, update the system, surf the Internet, WeChat, headlines, record video, bright screen for 6 hours and 40 minutes, daily If you use it, the battery life will never crash.",
,"The shopping experience for me is very bad; I spend a month's salary to buy a mobile phone without a charger; if I want to buy a charger separately without making it clear, it is cheating! Has Jingdong become so rubbish?",,There is a fraudulent act; se suspects that the mobile phone accessories are sold separately for money; why not remove the battery and sell it separately for money! Advise defrauded users to call 315 to complain about it,
,"The delivery speed is very fast, and the seller's service is also good. I am very satisfied that it is cheaper than usual. I have stocked up a lot. I am particularly satisfied? It is super beautiful? The customer service is very polite and polite, conscience merchant, support",,"Take a look at the wide-angle video effect, especially nice",
,"Easy to use, beautiful appearance, no fever, and good photos",,"It gets hot five or six times, and then becomes stuck, no charging, no heavy use, just turn on the video and swipe the web page",
,"Good quality as always, a product I like very much, I gave it to my wife as a gift for Goddess Day, my wife likes it very much! o(*£þ¦á£þ*)o. The only regret is that I forgot to take a picture of the charger",,Reduced price as soon as you buy it. . . what does it mean,
,"I received my phone this morning, and the phone became hot after watching the video for less than 30 minutes.",,"After watching the video for a while, the phone gets hot",
,"The appearance of the mobile phone is ok, but it is very hot to use, and it will not be hot when playing games",,"Don't buy this phone, it will get hot after using it for a while. The price reduction of the phone is also top-notch. After buying it for 10 days, the price has been reduced by 500, and there are various reasons for not refunding the difference.",
,"To be honest, the first time I bought such an expensive mobile phone, it was for the Huawei brand. I hope to use it for a few more years??? The overall feeling is still very good, it is very smooth to use, it is not too hot to play games, and the sound quality of music is played. Stereo surround, love love love. Of course, the most powerful is the camera function, the scenery in the distance is unobstructed",,"It's disgusting, the price is reduced by 500 in less than 10 days, I have never seen such a disgusting thing",
,Why does the newly bought mobile phone get hot after playing games for a while? very hot,,"The game gets hot, what is the reason?",
,"Turtle is also faster than this logistics, Jingdong Logistics really officially opened the garbage mode",,"Next time, I decided to change, no longer only Huawei, all electronic products. This shopping experience is very bad. There are many options at the same price",
,"The color is not as stunning as the picture, I bought it for the Kirin 9000",,"bought it for two days, and it was 500 yuan cheaper. I didn't give the insurance price. It said that the code was different. Do you believe it? I don't believe that Huawei's 12G+512G blue one has different product configurations",
,"If you take a picture, you will be stuck, and you will be stuck at every turn. What kind of garbage mobile phone, the price will be cut once the warranty period expires. Whoever buys it will be fooled.",,"Bought nearly 6,000 on March 1! Once the insured period is over, it will drop to 5400 immediately, don't buy it! ! ! And the mobile phone experience is extremely poor, taking pictures will be hot, and it will freeze when you turn on the camera! ! Sometimes it gets hot when typing and chatting",
,The only bad feeling is that the charger is still sold separately? learn apple,,"It is not clear whether it is a phone problem or a system problem. The screen sensitivity is not very good, and the system response is sometimes a little slow. I feel that the phone at this price really does not match. It is not equipped with the original charger. Although it is a fast charge purchased separately, it is much worse than the original one. Still regret buying it.",
,"The price will be reduced as soon as the goods are received, the live version will be removed, and the price will be guaranteed after communication. 3.10 Received on the 13th and found that it was someone else's return machine. I felt like I was wearing a green hat. The warranty period is one year. My 3.10 received the warranty period, but the warranty period is next year's 2.28. I still want to return it during the 7-day unreasonable return period.",,"I suspect that the so-called live version is a return machine, a disease machine, etc. I saw someone else's have an activation date, mine only has a warranty period, and I bought someone else's return machine",
,"Self-operated store rest assured, quality is guaranteed",,No charger anymore,
,misleading consumers,,"I want to ask, how come the pictures I posted have nothing to do with the product? Is a complaint about a product unrelated to the product?",
,"I have been using Huawei's mobile phones, it looks beautiful, feels good in hand, boots up and runs fast, it's a great mobile phone",,"The color of the photo is close to the base, and it has a large-scale visual sense!",
,"Super pit, I rushed to cut the frequency from the air, but I didn't have it.",,"In the function introduction, there is a cutoff frequency. I bought a 128 in stock and I don't have this function, which is really annoying.",
,"The appearance, feel, photography, fluency, etc. are all very good. As for 5g, it's okay if there is no. At present, 4g is not yet popular, so it doesn't affect anything for the time being.",,"Everything else is fine, the battery life is not good, the power consumption is too fast",
,"After buying it, the price has been reduced, a little speechless, and the packaging is also very poor",,"It is still possible to use it, but the price has been reduced. The price is very high. After buying it, the price has been reduced. There is not even a charger. The domestic mobile phone should support it, but it is a bit too much.",
,"Appearance: Very delicate Screen sound effect: The screen is about the same size as the iPhone 13promax, but it feels much better. Photo effects: I feel that Huawei has bought the DXO, and the photos are really not as good as the 13promax. Running speed: General standby time: garbage, really garbage, three or four rushes a day",,"Garbage, hot, playing King of Glory, using Wi-Fi, no card inserted, power saving mode turned on, it is actually hotter than iPhone! 35 power outages in one hour...the first day, the second day",
,"If you take a photo for a while, it will be very hot, and you will have to wait for a long time to enter after it is hot.",,"It is easy to get hot, and after getting hot, enter the software special card",
," Appearance: Curved screen, good-looking, more comfortable to hold, the camera has two big eyes, good-looking screen sound effects: ok Photo effect: The photo effect is absolutely awesome, and the realism is good Running speed: The running speed is ok, I haven't tried the game Standby time: Standby time is 1 day",,"Why did I drop 500 yuan in less than a month, I am in a bad mood",
,"Huawei mobile phones are rubbish. If you buy them, you will regret them. If the technology is immature, don¡¯t buy them. The video freezes. After a few days of buying, the price will drop by 500. It¡¯s too rubbish.",,"Can't be kidnapped by patriotism, thinking that there is no brain support, it will not rise close, the quality of the mobile phone, the experience is very poor, the earpiece is louder than the loudspeaker, it is too small and can't hear clearly, the price drops the fastest",
,Cards are not as fast as old age machines,,"50 power outages in two hours, still he's hot",
,The charger and cable are not too pitted,,"It's too funny to have bad reviews, and the chargers don't come with one. Is this the domestic product we trust?",
,"Beautiful appearance, smooth system, praise!",,"The Snapdragon version has no remote operation, and the screen does not turn off without staring. I just bought it for two days, and I have encountered a wifi connection, which is very disappointing.",
,no charger,,This is a bare metal without a charger,
,"In exchange from Apple, I thought of supporting domestic production, but the actual experience was very bad. Even opening some shopping software will freeze, and sometimes the screen will fail, and some software will be unusable if it refuses to read the content. There are a lot of junk APPs, and sometimes there are problems with the network connection, and the mobile phone is seriously hot",,"It took me almost 20 minutes to close the ads, and I still need to see personalized recommendations when I spend money on mobile phones~Smart Assistant",
,"Internet speed is not as good as expected, others are to be tried",,"The network speed is not as good as expected, and there are often the phenomenon that videos and pictures cannot be transferred for half a day when they are opened. In the same semi-enclosed area, it is really not flattering to compete with other cheap mobile phones",
,"After using it for a while, it freezes at every turn. I can't stand it with my new phone.",,"This is a Huawei mobile phone. It happens every day. When it gets stuck, you have to wait for 5 seconds to press the sleep button before the screen goes black. When the key is turned on, the screen will continue to get stuck.",
,"My daughter Xueyu White 50pro placed an order last night and has started using it today. Although Dawn is a fan of her favorite, Huawei is out of stock, so I can only place an order for this model. It's really good, but I regret",,"It¡¯s been a few days since I started using it, and the video playback chroma, brightness, and sound quality are very good. The eliminated p20pro is still very good. It is still available as a secondary machine. It will be even better if the 5G-configured Dawn fans can be shipped.",
,"Appearance: Good-looking Screen sound: Light green edges can still be seen in the solid-color background image, but it does not affect the use. Photo effect: easy to use Running speed: fast Standby time: It doesn't take a long time, and I will talk about other features later: Comprehensively, the black rear shell looks good.",,as good as before,
,"1. It is not very useful, and the battery consumption is very fast after downloading a few applications; 2. The camera is turned on and black, and it will not work after repeated attempts, and it will be normal after restarting. Just bought the phone and found two problems in one day, I feel very uncomfortable",,"If you don¡¯t watch videos or play games, just send WeChat normally, and the battery is only 30% in less than half a day.",
,Appearance: Satisfied Screen Sound Effect: Satisfied Photo Effect: Satisfied Running Speed: Satisfied Standby Time: Ok Other Features: Ok,,"Genuine and easy to use, like to recommend Jingdong's first-class service",
,"It feels great in the hand, and I am reluctant to use it to play games, for fear that the battery life will be reduced. The screenshots are not very easy to use, and I haven't fully understood them yet, so let's play slowly. Personally, I like it.",,"It's a mid-range model. It feels great. When I was young, I chased Apple. Now that I am older, I like domestic products. I like products that I like very much. It is considered a success!",
,"Appearance: Galaxy Blue is very beautiful, the original film is a bit fingerprinted, and it does not feel good without the tempered film. If it falls to the ground, I don't know if it will protect the phone screen.",,"Is it really good that such an expensive mobile phone does not come with a charger? I just found out that there is a 66W charger on Taobao. I regret buying it here. Huawei mobile phones are still very easy to use, but they should be equipped with a charger.",
,Businesses operating in bad faith,,"Caution is recommended! Go to other stores to compare, there are pits that you can't find in specialty stores... You will regret it if you leave home",
,"am very happy to open the box, the mobile phone is also very good, the volume is also large, the stereo effect is obvious, and the hand feel is very good. This should be a mobile phone that girls like! In particular, the photo effect is really good, and the photo is very clear. Taking a few photos at random is very amazing. The P30PRO I used before felt like taking pictures, but the camera function of this phone is really too powerful, and Hongmeng can use it. It's smooth and runs fast. The phone has been in use for several days, and it feels ok in all aspects! Bought 8+128 memory! The first time the new machine is turned on, the memory shows 108 available! This phone can expand the memory card! The phone is learned from Apple without a charger, and the appearance and workmanship are no worse than Apple; the fluency of Hongmeng is quite good; fully charged, install various software, play the system, update the system, surf the Internet, ~, headlines, recordings Video, the screen is bright for 6 hours and 40 minutes. In daily use, the battery life will never crash. The built-in beauty can also be turned off. In addition to regular functions, there are also professional-level video and photography. The phone film is already attached. It also comes with a silicone phone case. It's very common, and will have to be replaced later. The Hongmeng system is very smooth, the pride of the domestic national brand, the photos are very clear, and the experience is perfect. Wait for the 5G version to come out, and then start another one. Support Huawei, support domestic production",,"See here for hidden offers, pk 2 2 3 6 5 is this micro-number, rush to see the event! It saves a lot of money compared to the usual direct purchase, which is quite helpful for those who often use Jingdong",
,"There is a problem with the battery of the mobile phone, and it is suspected that it is a second-hand mobile phone",,"The battery of the mobile phone is not good, the screen is always black, and it is suspected that it is a parallel import",
,"After a few days of use, the camera will freeze anyway, and the software that listens to songs in the background will freeze when other software is opened.",,"First, when I bought this mobile phone, the delivery was very slow. I will not talk about it. The sense of use will really make people crash. In this case, when opening the camera of the mobile phone, there is still a situation of lag or half-slow shooting, which is very frustrating to use. The fluency is not particularly good. When watching TV, it will also appear stuck to a black screen.",
,"The battery is hot, even if the charging is hot, I feel like grabbing a warm baby when I walk and listen to a song. From time to time, the card will be stuck, and the volume will be stuck. I haven't tried taking pictures yet, it's been a week. At present, the overall feeling is similar to the p30p that I have used for three years. To be honest, I regret it.",,"After using it for a month, I opened the WeChat card for 2 seconds, and the anxiety and anxiety of taking pictures were very stuck, and then it started to get hot. It really exceeded my expectations, which is really frustrating. It can take 20-30 seconds to jump to a health code",
,"I can't react, but the fever is not very hot, and it doesn't feel as easy to use as I imagined.",,"I was wrong, I thought it was not hot, but when I played games at night, it got stuck and hot again. . . The reaction is still slow, I'm numb",
,"It can feel a little hot, the camera is good, and the sound quality is ok",,"By the way, no charger, no earphones",
,"Trade-in, write No. 24 in stock, and I received it on No. 21... It's okay if the box is pressed, no problem with the machine. In the past... I know the chip difference is a bit big, I also hope Huawei is good and I bought the iPhone 13pro before. I don't like it so much that I know this phone will not be satisfactory and I want to use this phone. It's the only thing that can make me decide to buy it. Maybe it's the front wide-angle... I really like this function iOS does not support incoming call recording, does not support WeChat clone, does not support themed desktop, does not support taking photos Haven't used 30, you can buy battery life, not good signal, it will heat properly, but it will definitely not be as hot as the iPhone. I have several themes on this phone, and the desktop will be black or half black when exiting after full screen. Test the available fluid series theme songs. Then, the power is really poor. It takes less than 30 hours for less than a day. It takes less than 10 hours. Go to the unit and come back. You have to charge it. In order to test the chicken and the glory of the king, which have not been played for a long time, it is still smooth~ The two kings are in chaos. 10% of the calls have contacted the engineer to test the black screen problem, and now they have applied for a replacement ~ I will wait for the small flying elephant to be taken from this mobile phone. You can see the p-series photos. It is still better",,"The photo of the previous problem was not approved by JD.com. The call back promised by JD.com has never been returned. Instead, Huawei engineers have called one by one. Of course, the problem is still there and it is not as good as my previous phone. It takes many times of performance to prompt me to wait. Or shut down my p30 for three years without it! The current fingerprint is not as good as the previous one. I can only say that Huawei after-sales is still following up on the progress of my replacement, but this problem is a performance problem or a quality problem or something normal. It is impossible to change him three or four times.",
,"The last time I used #, I have never encountered such a situation on other platforms. Ask the customer service if the charger is delivered separately, tell me yes, and then tell me that I can't enjoy the charger because I bought it on the 27th. I said I returned it and re-shot it, and then they had to ask that the mask on the outside of the box should not have scratches. Anyway, it means that you don¡¯t want to return it when you get it, and they will find problems for you and do not accept returns. I responded to this question in the morning and said that someone would contact me for a while, but no one contacted me after waiting for a day! The platform is a thing that I have heard 10,000 times on the Internet and I have to use it myself. I don¡¯t always think it¡¯s not bad. How many times?",,"Really big store is a cow, the platform will delete my photos casually, the reason is that the pictures are blurry, and the screenshots are still blurry? Cheat cheating! Show chat records to other buyers, what is there to be afraid of standing in the light?",
,Power down too fast not as good as P40,,"After using it for two days, the problem of power consumption is still the problem. After using Huawei for so long, the worst experience this time is that it was fully charged at 8:00 in the morning, and it ran out after a little while I didn't play anything. I took a dozen photos and I doubt whether the phone is a refurbished phone. I have my P40 while charging the battery and swiping video, these still have 73% of the battery, or a mobile phone that has been used for more than a year, this is not worth the price",
,"The ability to take pictures on mobile phones has been significantly improved, but the touch screen of mobile phones is often not sensitive enough, which makes people anxious. Any one flaw is annoying",,Still stuck. What a waste!,
,"It is beyond imagination. The most worrying thing is the crease problem. The software is also opened in seconds, and the appearance is responsible. The first time to record with folding",,"The speed of Jingdong is also in seconds, it will arrive the next day, give Jingdong a thumbs up, it is getting better and better",
,This phone is very nice to give away,,feel good,
,"near perfect. The mate30Pro is still in use, and the mate40Pro is almost brand new. With this folding machine, the mate30P can be retired. Two regrets: not Kirin, no 5G. Since the mate series over the years, it has been supporting Huawei mobile phones all the way, mate1, mate2, mate789, 9Pro, 10Pro, 20Pro, 30Pro, P40, 40Pro, P50Pocket, and many models have not bought more than one. The fruit-loving daughter-in-law has also started using Huawei mobile phones from the P30. I bought two this time, one black and one white. The black one has been used for two days, and the white one has not been shipped yet. I originally wanted to give my daughter-in-law as a Christmas gift. Yeah, there's no way to cross now",,"The white one also arrived, although it took a long time, but it was all worth it",
,"Beautiful appearance, unique design, folding screen, no trace after repeated use, new technology upgrade, delicate workmanship, primary color dual image unit Kirin 9000 chip, Vientiane double ring design, more than 500 memory, high playability! Praise",,"It¡¯s hard to catch up with some good things, but I was so anxious to take pictures of the box that I forgot to take pictures of the mobile phone. The mobile phone is very beautiful, the processing speed is very fast, the chip is super powerful, and the battery life is also very strong.",
,Huawei's magic machine has been in hand for a year,,very nice phone thanks huawei for supporting huawei,
,"I received the HUAWEI small demolition stack. Thank you HUAWEI for the Christmas gift. I just didn't buy the color I wanted. I'm a little disappointed, but I'm still very happy.",,Support Huawei JD.com delivery is fast,
,"The speed of Jingdong Logistics is really too fast. For the press conference on the 23rd, the order can be placed on the 25th, and the goods can be received on the 26th. The screen is a big plus, better than Samsung's in that the crease isn't as pronounced. But mobile phone cases are really rare now",,Recommended for women as it measures the skin and checks foundation,
,"I received the mobile phone, very good and very satisfied, the hand feels very good, the color is also good-looking, the courier is super fast, it arrived in one day, the mobile phone is not bad at present, no problem",,"I like it very much, it feels very practical, very convenient, and has a high appearance. It is a must for goddesses, hahahaha",
